Zip,City,County,Type,Area,Value,Year
78705,Austin,Travis County,Urban,Central,156463.24,2013
78705,Austin,Travis County,Urban,Central,158548.61,2014
78705,Austin,Travis County,Urban,Central,161294.74,2015
78705,Austin,Travis County,Urban,Central,165332.5,2016
78705,Austin,Travis County,Urban,Central,169250.79,2017
78717,Austin,Travis County,Suburban,North,232370,2011
78717,Austin,Travis County,Suburban,North,233046.35,2012
78717,Austin,Travis County,Suburban,North,234789.22,2013
78717,Austin,Travis County,Suburban,North,237697.22,2014
78717,Austin,Travis County,Suburban,North,241010.09,2015
78717,Austin,Travis County,Suburban,North,245119.17,2016
78717,Austin,Travis County,Suburban,North,249601.59,2017
78721,Austin,Travis County,Urban,Central,121617.78,2011
78721,Austin,Travis County,Urban,Central,123029.69,2012
78721,Austin,Travis County,Urban,Central,124741.18,2013
78721,Austin,Travis County,Urban,Central,127717.13,2014
78721,Austin,Travis County,Urban,Central,131698.25,2015
78721,Austin,Travis County,Urban,Central,137316.25,2016
78721,Austin,Travis County,Urban,Central,144005.16,2017
78722,Austin,Travis County,Urban,Central,217041.11,2011
78722,Austin,Travis County,Urban,Central,220266.67,2012
78722,Austin,Travis County,Urban,Central,224072.06,2013
78722,Austin,Travis County,Urban,Central,229009.72,2014
78722,Austin,Travis County,Urban,Central,235786.4,2015
78722,Austin,Travis County,Urban,Central,242723.33,2016
78722,Austin,Travis County,Urban,Central,249907.54,2017
78723,Austin,Travis County,Urban,Central,171061.67,2011
78723,Austin,Travis County,Urban,Central,172898.96,2012
78723,Austin,Travis County,Urban,Central,176502.94,2013
78723,Austin,Travis County,Urban,Central,180617.59,2014
78723,Austin,Travis County,Urban,Central,185614.04,2015
78723,Austin,Travis County,Urban,Central,191850.83,2016
78723,Austin,Travis County,Urban,Central,198624.6,2017
78724,Austin,Travis County,Suburban,East,112418.33,2011
78724,Austin,Travis County,Suburban,East,112390.62,2012
78724,Austin,Travis County,Suburban,East,112513.73,2013
78724,Austin,Travis County,Suburban,East,113011.57,2014
78724,Austin,Travis County,Suburban,East,114273.25,2015
78724,Austin,Travis County,Suburban,East,116680.42,2016
78724,Austin,Travis County,Suburban,East,119683.73,2017
78725,Austin,Travis County,Suburban,East,118989.44,2011
78725,Austin,Travis County,Suburban,East,118809.38,2012
78725,Austin,Travis County,Suburban,East,118864.71,2013
78725,Austin,Travis County,Suburban,East,119367.59,2014
78725,Austin,Travis County,Suburban,East,120669.74,2015
78725,Austin,Travis County,Suburban,East,122887.5,2016
