,Zip,City,County,Type,Area,Value,Year,Total-Population,Hispanic,White,Black,Native,Asian,Other,Total,Diversity Index
183,78666,San Marcos,Hays County,Suburban,South,126218.23,2012,63255,41.2,50.2,5.1,0.4,1.5,1.7,100.1,0.575121
184,78666,San Marcos,Hays County,Suburban,South,127045.59,2013,66027,42.9,49.1,4.5,0.4,1.5,1.5,99.9,0.572387
185,78666,San Marcos,Hays County,Suburban,South,128168.98,2014,68704,42.1,49.6,4.4,0.4,1.4,2.1,100.0,0.5741539999999999
186,78666,San Marcos,Hays County,Suburban,South,129914.04,2015,72866,42.5,49.0,4.7,0.5,1.4,2.0,100.1,0.576445
187,78666,San Marcos,Hays County,Suburban,South,132295.42,2016,75968,44.2,47.3,4.8,0.3,1.5,1.9,100.0,0.578008
188,78666,San Marcos,Hays County,Suburban,South,135079.37,2017,77355,43.6,47.7,5.2,0.1,1.5,1.8,99.9,0.579121
189,78669,Spicewood,Travis County,Rural,West,266812.22,2011,8834,9.8,87.8,1.6,0.0,0.5,0.2,99.9,0.219227
190,78669,Spicewood,Travis County,Rural,West,268658.85,2012,8737,9.4,88.2,1.3,0.0,0.8,0.3,100.0,0.212998
191,78669,Spicewood,Travis County,Rural,West,270226.47,2013,8418,9.5,87.9,1.8,0.0,0.5,0.4,100.1,0.217969
192,78669,Spicewood,Travis County,Rural,West,272494.44,2014,8909,6.8,89.6,2.5,0.0,0.4,0.7,100.0,0.19187
193,78669,Spicewood,Travis County,Rural,West,275372.81,2015,9303,7.6,89.5,1.1,0.0,1.2,0.6,100.0,0.19289800000000001
194,78669,Spicewood,Travis County,Rural,West,278972.08,2016,10734,9.1,87.6,1.0,0.0,1.5,0.7,99.9,0.223969
195,78669,Spicewood,Travis County,Rural,West,283144.44,2017,11375,8.2,87.0,1.0,0.0,3.0,0.8,100.0,0.235312
196,78676,Wimberley,Hays County,Rural,South,178679.44,2011,11750,4.9,91.3,1.7,0.6,0.4,1.1,100.0,0.16356800000000002
197,78676,Wimberley,Hays County,Rural,South,179889.58,2012,12177,7.2,89.4,0.8,0.8,0.3,1.6,100.1,0.195187
198,78676,Wimberley,Hays County,Rural,South,181376.96,2013,12453,7.2,88.5,1.2,0.6,0.7,1.8,100.0,0.211038
199,78676,Wimberley,Hays County,Rural,South,183010.19,2014,12215,7.5,88.4,1.2,0.3,0.9,1.8,100.1,0.21236100000000002
200,78676,Wimberley,Hays County,Rural,South,185710.09,2015,12413,8.4,87.0,1.1,0.6,0.8,2.2,100.1,0.235339
201,78676,Wimberley,Hays County,Rural,South,189608.33,2016,13202,9.2,87.1,0.4,0.4,1.0,1.9,100.0,0.232402
202,78676,Wimberley,Hays County,Rural,South,194996.43,2017,13231,8.6,89.1,0.2,0.2,0.8,0.9,99.8,0.19857
